No,Date,Route,Bike,Location,Distance(km),RideTime,AvgSpeed(km/h),MaxSpeed(km/h),AvgHR,MaxHR,MaxCadence,GPSPoints
163,2017-10-10 08:22,수원시,Ghost,수원시,16.39,1:04:34,15.2,30.6,111,155,,450
164,2017-10-11 22:03,안양시,Ghost,안양시,16.56,0:59:49,16.6,42.7,130,159,,441
165,2017-10-12 09:34,수원시,Ghost,수원시,16.49,1:04:49,15.3,37.3,111,160,,437
166,2017-10-16 22:03,안양시,Ghost,안양시,16.46,0:58:34,16.9,36.7,,,,432
167,2017-10-17 08:20,수원시,Ghost,수원시,16.32,1:05:36,14.9,36.1,,,,439
168,2017-10-18 08:40,수원시,Ghost,수원시,16.44,1:08:04,14.5,40.9,120,163,,420
169,2017-10-18 21:47,안양시,Ghost,안양시,16.58,1:02:30,15.9,38.2,128,162,,432
170,2017-10-25 22:13,안양시,Ghost,안양시,16.39,1:00:44,16.2,42.6,,,,449
171,2017-10-26 10:11,수원시,Ghost,수원시,16.36,1:04:01,15.3,38.6,124,162,,432
172,2017-11-01 08:04,수원시,Ghost,수원시,16.43,1:08:30,14.4,38.5,123,161,,465
173,2017-11-01 22:03,안양시,Ghost,안양시,16.45,1:03:58,15.4,35.6,121,152,,468
174,2017-11-04 01:00,군포시,Ghost,군포시,12.01,1:12:51,9.9,29.2,121,161,,378
175,2017-11-08 08:08,수원시,Ghost,수원시,16.49,1:08:24,14.5,38.0,115,149,,463
176,2017-11-08 21:59,안양시,Ghost,안양시,16.53,1:03:39,15.6,42.5,132,165,,484
177,2017-11-12 22:05,안양시,Ghost,안양시,16.60,1:07:25,14.8,39.3,134,157,,481
178,2017-11-13 22:00,안양시,Ghost,안양시,16.50,1:05:05,15.2,31.3,133,154,,472
179,2017-11-14 08:21,수원시,Ghost,수원시,16.46,1:13:39,13.4,38.2,123,157,,447
180,2017-11-17 22:34,안양시,Ghost,안양시,113.27,6:20:06,17.9,38.1,,,,2664
181,2017-11-19 22:20,안양시,Ghost,안양시,16.64,1:03:55,15.6,35.6,,,,457
182,2017-11-20 11:58,수원시,Ghost,수원시,16.59,1:12:22,13.8,37.3,,,,450
183,2017-11-20 22:03,안양시,Ghost,안양시,16.66,1:05:07,15.3,39.8,,,,435
184,2017-11-21 08:44,수원시,Ghost,수원시,16.46,1:10:32,14.0,35.3,,,,417
185,2017-12-03 22:26,안양시,Ghost,안양시,16.50,1:04:19,15.4,38.5,,,,425
186,2017-12-04 08:16,수원시,Ghost,수원시,16.44,1:09:21,14.2,31.7,,,,462
187,2018-02-15 03:08,안양시,Ghost,안양시,19.02,1:31:47,12.4,36.3,,,,532
188,2018-02-25 22:03,안양시,Ghost,안양시,16.37,1:07:08,14.6,32.8,,,,417
189,2018-02-26 09:31,수원시,Ghost,수원시,16.62,1:14:21,13.4,36.3,132,164,,518
190,2018-02-26 22:08,안양시,Ghost,안양시,16.65,1:08:20,14.6,36.0,131,156,,509
191,2018-02-27 09:13,수원시,Ghost,수원시,16.42,1:13:07,13.5,35.5,116,146,,467
192,2018-03-03 01:03,계양구,Ghost,계양구,30.76,1:49:53,16.8,36.4,117,152,,799
193,2018-03-05 22:08,안양시,Ghost,안양시,16.41,1:05:48,15.0,40.2,131,157,,451
194,2018-03-06 10:03,수원시,Ghost,수원시,16.69,1:13:58,13.5,38.1,,,,477
195,2018-03-07 08:48,수원시,Ghost,수원시,16.40,1:06:52,14.7,36.0,,,,477
196,2018-03-07 22:02,안양시,Ghost,안양시,16.44,1:03:29,15.5,37.3,136,160,,484
197,2018-03-11 22:53,안양시,Ghost,안양시,16.36,1:07:15,14.6,41.6,,,,431
198,2018-03-12 10:58,수원시,Ghost,수원시,16.69,1:09:38,14.4,36.2,,,,443
199,2018-03-13 11:37,수원시,Ghost,수원시,18.35,1:15:06,14.7,40.5,,,,522
200,2018-03-14 10:28,수원시,Ghost,수원시,14.98,1:04:05,14.0,37.0,,,,399
201,2018-03-26 11:04,수원시,Ghost,수원시,16.54,1:10:13,14.1,39.5,119,165,,477
202,2018-04-09 08:15,수원시,Ghost,수원시,16.43,1:03:54,15.4,41.5,,,,474
203,2018-04-09 22:08,안양시,Ghost,안양시,16.47,1:04:37,15.3,34.9,139,167,,479
204,2018-04-11 08:25,수원시,Ghost,수원시,17.21,1:11:37,14.4,44.3,,,,511
205,2018-04-11 22:03,안양시,Ghost,안양시,16.50,0:59:46,16.6,39.2,,,,476
206,2018-04-15 22:02,안양시,Ghost,안양시,16.44,1:05:16,15.1,36.6,,,,452
207,2018-04-16 09:29,수원시,Ghost,수원시,16.62,1:09:27,14.4,33.3,,,,485
208,2018-05-01 08:48,안양시,Ghost,안양시,21.94,1:31:17,14.4,31.5,,,,597
209,2018-05-14 22:12,안양시,Ghost,안양시,16.49,1:05:27,15.1,42.1,,,,464
210,2018-05-15 08:49,수원시,Ghost,수원시,16.52,1:12:09,13.7,37.3,,,,495
211,2018-05-23 08:18,수원시,Ghost,수원시,16.84,1:10:12,14.4,37.4,,,,463
212,2018-05-23 21:39,안양시,Ghost,안양시,16.44,1:02:02,15.9,31.9,,,,440
213,2018-05-27 22:08,안양시,Ghost,안양시,16.50,1:03:16,15.6,33.1,,,,416
214,2018-05-28 09:21,수원시,Ghost,수원시,16.39,1:08:14,14.4,41.3,126,157,,422
215,2018-05-30 08:14,수원시,Ghost,수원시,16.44,1:09:46,14.1,41.7,121,156,,441
216,2018-05-30 21:48,안양시,Ghost,안양시,16.55,1:08:04,14.6,32.0,122,152,,461
217,2018-06-02 02:00,안양시,Ghost,안양시,24.12,1:58:58,12.2,33.9,132,181,,868
218,2018-06-03 22:08,안양시,Ghost,안양시,16.53,1:09:18,14.3,37.3,128,149,,493
219,2018-06-04 09:37,수원시,Ghost,수원시,16.52,1:07:49,14.6,40.7,115,156,,517
220,2018-06-10 21:59,안양시,Ghost,안양시,15.77,1:03:23,14.9,36.6,125,149,,408
221,2018-06-11 09:14,수원시,Ghost,수원시,16.56,1:07:24,14.7,40.1,121,157,,487
222,2018-06-30 01:49,안양시,Ghost,안양시,20.44,1:25:06,14.4,39.8,,,,541
223,2018-07-14 01:24,안양시,Ghost,안양시,20.42,1:19:37,15.4,43.0,,,,549
224,2018-07-15 02:19,시흥시,Ghost,시흥시,19.36,1:09:51,16.6,28.9,,,,477
225,2018-07-15 21:56,안양시,Ghost,안양시,16.46,1:09:41,14.2,40.6,,,,472
226,2018-07-16 08:46,수원시,Ghost,수원시,16.49,1:10:31,14.0,41.1,,,,474
227,2018-07-16 21:49,안양시,Ghost,안양시,16.57,1:05:05,15.3,43.2,,,,475
228,2018-07-17 08:29,수원시,Ghost,수원시,16.36,1:10:31,13.9,46.0,,,,437
229,2018-07-17 21:59,안양시,Ghost,안양시,15.91,1:07:36,14.1,35.4,,,,454
230,2018-07-18 08:34,수원시,Ghost,수원시,16.40,1:12:34,13.6,33.0,,,,449
231,2018-07-19 21:58,안양시,Ghost,안양시,16.44,1:05:11,15.1,41.8,,,,458
232,2018-07-20 08:29,수원시,Ghost,수원시,14.63,1:02:30,14.0,38.4,,,,426
233,2018-07-21 10:18,안양시,Ghost,안양시,20.41,1:28:13,13.9,41.8,,,,510
234,2018-07-22 22:04,안양시,Ghost,안양시,16.45,1:04:04,15.4,42.8,,,,481
235,2018-07-23 08:34,수원시,Ghost,수원시,16.33,1:14:13,13.2,42.2,,,,496
236,2018-07-23 21:43,안양시,Ghost,안양시,16.34,1:04:20,15.2,41.7,,,,472
237,2018-07-24 08:19,수원시,Ghost,수원시,16.41,1:10:52,13.9,41.7,,,,492
238,2018-07-24 21:52,안양시,Ghost,안양시,16.57,1:05:20,15.2,41.3,,,,444
239,2018-07-25 08:20,수원시,Ghost,수원시,16.35,1:05:52,14.9,35.7,,,,481
240,2018-07-25 21:56,안양시,Ghost,안양시,16.37,1:06:54,14.7,34.3,,,,473
241,2018-07-26 11:51,수원시,Ghost,수원시,16.26,1:07:51,14.4,40.6,,,,430
242,2018-07-27 10:55,안양시,Ghost,안양시,20.47,1:20:23,15.3,33.9,,,,512
243,2018-07-29 09:05,안양시,Ghost,안양시,20.87,1:25:53,14.6,37.3,,,,574
244,2018-07-30 21:57,안양시,Ghost,안양시,16.30,1:03:14,15.5,38.6,,,,435
245,2018-07-31 08:16,수원시,Ghost,수원시,16.51,1:08:27,14.5,37.8,,,,468
246,2018-07-31 21:59,안양시,Ghost,안양시,15.27,0:57:37,15.9,46.4,,,,409
247,2018-08-01 08:21,수원시,Ghost,수원시,16.39,1:10:12,14.0,40.4,,,,474
248,2018-08-01 21:53,안양시,Ghost,안양시,16.59,1:05:29,15.2,43.1,,,,446
249,2018-08-02 11:54,수원시,Ghost,수원시,16.51,1:06:34,14.9,37.6,,,,437
250,2018-08-02 21:55,안양시,Ghost,안양시,32.76,2:11:44,14.9,41.7,,,,917
251,2018-08-04 02:24,안양시,Ghost,안양시,18.28,1:04:56,16.9,31.2,,,,512
252,2018-08-05 21:58,안양시,Ghost,안양시,16.52,1:03:51,15.5,41.4,,,,475
253,2018-08-06 09:14,수원시,Ghost,수원시,16.48,1:08:52,14.4,43.9,,,,477
254,2018-08-08 21:55,안양시,Ghost,안양시,16.46,1:03:38,15.5,36.8,,,,462
255,2018-08-13 09:53,수원시,Ghost,수원시,16.45,1:07:31,14.6,40.3,,,,461
256,2018-08-13 22:01,안양시,Ghost,안양시,16.75,1:00:09,16.7,45.8,,,,475
