"Route","Bike","Location","Start Time","Time (secs)","Stopped Time (secs)","Distance (km)","Average Speed (km/h)","Fastest Speed (km/h)","Ascent (metres)","Average Heart Rate (bpm)","Maximum Heart Rate (bpm)","Average Cadence (rpm)","Maximum Cadence (rpm)"
"","Santa Cruz","안양시","2020-04-07 06:47:01",4173,468,16.45,14.19,34.51,122,"","","",""
"","Santa Cruz","수원시","2020-04-07 17:10:08",5016,726,17.83,12.79,38.83,168,"","","",""
"","Santa Cruz","안양시","2020-04-08 06:50:17",4047,526,16.47,14.65,40.33,168,"","","",""
"","Santa Cruz","수원시","2020-04-08 17:10:58",4975,967,18.22,13.18,37.95,161,"","","",""
"","Santa Cruz","안양시","2020-04-09 06:50:20",3984,596,16.46,14.87,38.37,107,"","","",""
"","Santa Cruz","수원시","2020-04-09 19:57:02",4132,553,16.57,14.44,35.42,80,"","","",""
"","Santa Cruz","안양시","2020-04-10 07:01:44",4050,571,16.47,14.64,33.11,117,"","","",""
"","Santa Cruz","수원시","2020-04-10 17:07:10",4743,725,17.74,13.46,35.49,158,"","","",""
"","Santa Cruz","안양시","2020-04-13 06:54:22",3946,737,16.42,14.98,32.49,134,"","","",""
"","Santa Cruz","수원시","2020-04-13 20:07:00",4309,925,16.49,13.77,35.08,91,"","","",""
"","Santa Cruz","안양시","2020-04-16 06:51:25",3968,359,16.54,15.01,31.91,119,"","","",""
"","Santa Cruz","수원시","2020-04-16 19:58:49",4280,318,16.48,13.86,33.57,92,"","","",""
"","Santa Cruz","안양시","2020-04-18 08:54:32",22152,10119,109.18,17.74,43.06,330,"","","",""
"","","","2020-04-18 15:17:21",9303,0,31.91,12.35,33.15,201,"","","",""
"","Santa Cruz","안양시","2020-04-20 06:48:13",3931,579,16.43,15.05,35.0,110,"","","",""
"","Santa Cruz","수원시","2020-04-20 20:09:38",4089,490,16.51,14.53,34.29,78,"","","",""
"","Santa Cruz","안양시","2020-04-21 06:49:17",3791,641,16.36,15.53,38.12,104,"","","",""
"","Santa Cruz","수원시","2020-04-21 18:17:11",4006,3956,16.71,15.02,32.34,91,"","","",""
"","Santa Cruz","안양시","2020-04-22 06:42:23",3482,671,16.51,17.07,36.91,92,"","","",""
"","Santa Cruz","수원시","2020-04-22 17:23:53",4048,492,16.43,14.61,35.82,104,"","","",""
"","Santa Cruz","안양시","2020-04-23 06:53:09",3866,576,16.48,15.35,33.7,111,"","","",""
"","Santa Cruz","수원시","2020-04-23 17:37:59",4171,713,16.45,14.2,40.78,96,"","","",""
"","Santa Cruz","안양시","2020-04-25 09:48:15",13289,6533,59.27,16.06,43.79,256,"","","",""
"","Santa Cruz","안양시","2020-04-27 06:57:05",4090,822,16.33,14.37,33.44,121,"","","",""
"","Santa Cruz","수원시","2020-04-27 19:53:05",4136,634,16.43,14.3,34.83,99,"","","",""
"","Santa Cruz","안양시","2020-04-28 06:49:52",8835,34929,34.38,14.01,40.21,269,"","","",""
"","Santa Cruz","안양시","2020-04-29 06:39:48",3956,515,16.44,14.96,32.89,103,"","","",""
"","Santa Cruz","수원시","2020-04-29 17:33:18",4839,959,17.94,13.35,42.04,156,"","","",""
"","Santa Cruz","안양시","2020-05-02 08:47:23",17949,7443,75.66,15.18,74.54,175,"","","",""
"","Santa Cruz","안양시","2020-05-04 06:52:56",4158,296,16.36,14.17,36.57,107,"","","",""
"","Santa Cruz","수원시","2020-05-04 17:38:06",4332,708,16.5,13.71,32.59,86,"","","",""
"","Santa Cruz","안양시","2020-05-06 06:41:08",3947,35601,16.52,15.06,32.11,114,"","","",""
"","Santa Cruz","수원시","2020-05-06 17:40:24",4097,792,16.51,14.51,33.34,88,"","","",""
"","Santa Cruz","안양시","2020-05-07 06:49:13",4157,543,16.47,14.26,33.82,130,"","","",""
"","Santa Cruz","수원시","2020-05-07 17:14:30",4287,721,16.49,13.85,36.01,80,"","","",""
"","Santa Cruz","안양시","2020-05-08 06:42:52",4098,623,16.43,14.43,35.65,116,"","","",""
"","Santa Cruz","안양시","2020-05-11 07:00:27",4017,697,16.02,14.36,30.27,103,"","","",""
"","Santa Cruz","수원시","2020-05-11 20:09:52",4175,727,16.43,14.16,32.61,105,"","","",""
"","Santa Cruz","안양시","2020-05-12 06:51:03",4110,432,16.36,14.33,33.67,109,"","","",""
"","Santa Cruz","수원시","2020-05-12 17:01:12",4788,3296,18.03,13.56,39.61,104,"","","",""
"","Santa Cruz","안양시","2020-05-13 06:28:04",3813,798,16.39,15.48,37.64,96,"","","",""
"","Santa Cruz","수원시","2020-05-13 17:30:44",4027,961,16.48,14.73,38.51,101,"","","",""
"","Santa Cruz","안양시","2020-05-14 06:50:18",3810,584,16.36,15.45,37.42,104,"","","",""
"","Santa Cruz","수원시","2020-05-14 17:23:36",4107,826,16.49,14.46,36.52,101,"","","",""
"","","","2020-05-16 10:21:32",11931,0,30.14,9.09,45.11,431,"","","",""
"","Santa Cruz","양평군","2020-05-16 10:21:32",8497,3433,30.48,12.91,45.58,452,"","","",""
"","Santa Cruz","성남시","2020-05-16 15:27:33",5658,689,24.29,15.45,43.35,204,"","","",""
"","Santa Cruz","안양시","2020-05-20 06:24:59",3774,695,16.46,15.7,43.17,95,"","","",""
"","Santa Cruz","수원시","2020-05-21 17:12:38",4295,832,16.58,13.89,35.07,92,"","","",""
"","","","2020-05-22 06:40:34",4049,0,16.55,14.71,35.28,107,"","","",""
"","Santa Cruz","안양시","2020-05-22 06:40:34",3646,403,16.6,16.39,39.11,106,"","","",""
"","Santa Cruz","정선군","2020-05-24 11:21:38",12144,7221,33.79,10.02,45.6,973,"","","",""
"","","","2020-05-24 11:24:25",19198,0,33.05,6.2,41.43,927,"","","",""
"","Santa Cruz","안양시","2020-05-25 07:05:26",4099,341,16.39,14.39,37.58,103,"","","",""
"","Santa Cruz","수원시","2020-05-25 17:34:26",3906,541,15.07,13.88,33.37,82,"","","",""
"","Santa Cruz","안양시","2020-05-26 06:56:05",3878,516,17.09,15.87,35.79,103,"","","",""
"","Santa Cruz","수원시","2020-05-26 18:38:49",3964,937,17.03,15.47,38.18,101,"","","",""
"","Santa Cruz","","2020-05-27 06:29:46",3990,593,16.9,15.25,38.88,100,"","","",""
"","Santa Cruz","","2020-05-28 17:09:23",4115,2790,17.22,15.07,38.8,92,"","","",""
"","Santa Cruz","","2020-05-29 06:40:02",3719,358,16.97,16.42,39.63,93,"","","",""
"","Santa Cruz","","2020-05-29 17:09:42",4458,1790,17.21,13.9,29.84,90,"","","",""
"","Santa Cruz","","2020-05-31 08:30:49",7511,2912,37.01,17.74,31.16,57,"","","",""
"",Ghost,"","2020-06-02 07:05:44",3740,665,16.89,16.26,38.97,114,"","","",""
"",Ghost,"","2020-06-02 17:09:45",4070,738,17.84,15.78,43.46,116,"","",39,105
"",Ghost,"","2020-06-03 06:32:07",3847,352,17.45,16.33,37.49,102,"","",46,115
"",Ghost,"","2020-06-03 17:10:11",4143,488,17.64,15.33,45.68,104,"","",42,145
"",Ghost,"","2020-06-04 06:52:39",3986,422,17.52,15.83,42.35,106,"","",49,122
"",Ghost,"","2020-06-04 17:31:08",4209,458,17.64,15.09,39.57,93,"","",40,130
"",Ghost,"","2020-06-05 06:24:31",3720,572,17.55,16.99,42.9,102,"","",46,105
"",Ghost,"수원시","2020-06-05 18:05:15",4089,608,17.67,15.56,37.9,78,"","",39,128
"",Ghost,"","2020-06-07 10:28:01",9943,7263,52.06,18.85,49.15,264,"","",48,102
"",Ghost,"안양시","2020-06-08 06:51:04",4041,494,17.61,15.69,43.46,102,"","",42,130
"",Ghost,"","2020-06-08 19:32:30",4279,484,17.65,14.85,38.6,88,"","",39,134
"",Ghost,"","2020-06-09 07:01:35",3957,535,17.52,15.94,43.6,104,"","",46,120
"",Ghost,"","2020-06-09 17:49:03",4242,604,17.73,15.04,38.74,81,"","",41,106
"",Ghost,"","2020-06-10 06:35:33",3943,436,17.62,16.09,41.93,113,"","",47,111
"",Ghost,"","2020-06-10 17:23:43",4186,600,17.71,15.23,35.27,89,"","",45,120
"",Ghost,"","2020-06-11 06:45:12",4035,542,17.65,15.75,39.71,119,"","",47,140
"",Ghost,"","2020-06-11 17:43:46",4329,836,17.71,14.72,38.46,89,"","",40,132
"",Ghost,"","2020-06-14 09:58:50",8449,8209,44.23,18.85,37.35,34,"","",53,97
"",Ghost,"","2020-06-15 07:02:23",3973,422,17.53,15.88,42.76,99,"","",48,122
"",Ghost,"","2020-06-15 18:25:49",4113,772,17.61,15.41,39.15,85,"","",40,117
"",Ghost,"","2020-06-16 06:53:22",4052,536,17.63,15.67,33.88,111,"","",47,110
"",Ghost,"수원시","2020-06-16 18:19:29",4151,796,17.78,15.42,45.54,82,"","",41,115
"",Ghost,"","2020-06-17 06:37:14",4016,440,17.65,15.82,37.07,103,"","",48,140
"",Ghost,"","2020-06-17 17:03:24",4193,676,17.7,15.2,41.65,81,"","",42,103
"",Ghost,"","2020-06-18 06:55:51",4081,547,17.64,15.56,35.41,94,"","",45,117
"",Ghost,"수원시","2020-06-18 17:12:37",4089,706,17.7,15.58,43.74,83,"","",42,128
"",Ghost,"","2020-06-21 15:14:38",3001,227,17.43,20.91,49.11,75,"","","",""
"",Ghost,"안양시","2020-06-22 07:11:28",4212,608,16.66,14.24,38.79,119,"","","",""
"",Ghost,"","2020-06-22 20:11:03",4396,422,17.69,14.49,40.27,240,"","",42,102
"",Ghost,"","2020-06-23 06:55:03",4051,425,17.64,15.67,37.21,216,"","",46,128
"",Ghost,"수원시","2020-06-23 18:37:29",4527,1280,17.96,14.28,41.24,193,"","",38,92
"",Ghost,"","2020-06-28 09:02:28",27867,12129,102.24,13.21,51.23,788,"","",39,108
"",Ghost,"","2020-06-29 06:53:17",4055,370,17.62,15.64,36.93,114,"","",48,121
"",Ghost,"","2020-06-29 17:28:35",3767,704,16.82,16.07,41.79,80,"","","",""
"",Ghost,"","2020-07-01 06:42:14",3527,403,16.67,17.02,39.32,113,"","","",""
"","Santa Cruz","","2020-07-01 17:08:12",3968,1565,17.61,15.97,37.9,86,"","","",""
"","Santa Cruz","","2020-07-02 06:59:05",3664,352,16.6,16.31,37.47,111,"","","",""
"","Santa Cruz","","2020-07-02 17:18:25",4982,911,18.54,13.4,36.63,172,"","","",""
"","Santa Cruz","","2020-07-03 06:38:13",3984,425,16.73,15.11,34.22,121,"","","",""
"","Santa Cruz","","2020-07-03 17:41:48",5378,91,16.11,10.79,38.34,98,"","",28,139
"","Santa Cruz","","2020-07-05 08:43:07",18465,7590,77.18,15.05,43.6,356,"","",44,125
"","Santa Cruz","","2020-07-06 06:56:12",4093,356,15.92,14.0,36.1,116,"","",45,128
"",Ghost,"","2020-07-06 17:57:20",4235,633,17.86,15.18,43.6,79,"","",42,108
"",Ghost,"","2020-07-07 06:50:43",3988,370,17.74,16.01,41.38,121,"","",48,125
"",Ghost,"","2020-07-07 17:53:16",4030,536,17.47,15.61,41.24,103,"","",41,135
"",Ghost,"","2020-07-08 06:58:46",4005,613,17.51,15.74,44.57,116,"","",43,123
"",Ghost,"","2020-07-08 17:21:15",3913,682,17.61,16.2,39.57,89,"","",40,144
"",Ghost,"","2020-07-10 06:41:37",3835,393,17.38,16.31,37.63,108,"","",43,118
"",Ghost,"","2020-07-10 18:21:06",4256,627,17.6,14.89,39.85,119,"","",38,126
"",Ghost,"","2020-07-12 07:38:38",19873,8998,101.97,18.47,45.68,437,"","",45,134
"",Ghost,"","2020-07-12 16:43:24",7183,710,40.74,20.42,39.29,110,"","",60,123
"",Ghost,"","2020-07-14 06:43:06",3869,608,17.54,16.32,37.63,134,"","",44,117
"",Ghost,"","2020-07-14 20:04:11",4154,743,16.72,14.49,33.23,92,"","","",""
"",Ghost,"","2020-07-15 06:33:46",3781,393,16.81,16.01,34.2,115,"","","",""
"",Ghost,"","2020-07-15 17:44:43",5026,1822,22.03,15.78,33.14,84,"","","",""
"",Ghost,"","2020-07-16 06:53:31",4215,596,16.58,14.16,33.17,102,"","","",""
"",Ghost,"","2020-07-16 18:20:21",4304,749,16.77,14.03,38.03,103,"","","",""
"",Ghost,"","2020-07-18 11:17:49",10782,8837,43.71,14.59,29.44,294,"","",36,121
"","Santa Cruz","수원시","2020-07-20 17:58:51",3529,579,17.27,17.62,38.26,106,"","","",""
"","Santa Cruz","","2020-07-21 06:47:23",3578,558,16.59,16.69,35.72,99,"","","",""
"","Santa Cruz","","2020-07-21 18:33:50",3771,1115,15.99,15.27,38.34,114,"","","",""
"",Ghost,"","2020-07-25 10:27:01",11307,4180,37.47,11.93,31.93,186,"","",33,133
"",Ghost,"","2020-07-27 06:38:24",4014,722,17.61,15.8,33.74,113,"","",43,123
"",Ghost,"","2020-07-27 17:36:09",4009,667,16.63,14.93,37.99,110,"","","",""
"",Ghost,"","2020-07-28 06:55:41",3604,600,16.81,16.79,36.76,118,"","","",""
"",Ghost,"","2020-07-28 21:12:06",4053,325,16.9,15.01,35.01,103,"","","",""
"","Santa Cruz","","2020-08-09 10:55:16",6712,2097,31.0,16.62,35.38,521,"","","",""
"","Santa Cruz","","2020-08-10 06:56:55",3877,626,16.76,15.57,32.27,223,"","","",""
"","Santa Cruz","수원시","2020-08-10 17:08:50",4139,1587,17.08,14.86,34.19,395,"","","",""
"","Santa Cruz","","2020-08-20 06:47:19",3932,651,16.86,15.43,36.19,271,"","","",""
"",Ghost,"","2020-08-20 17:15:41",3966,841,16.74,15.19,37.34,256,"","","",""
"","Santa Cruz","","2020-08-22 08:48:59",7264,1293,22.21,11.01,30.18,688,"","","",""
"","Santa Cruz","","2020-08-24 07:04:07",3996,469,16.63,14.98,38.18,215,"","","",""
"",Ghost,"","2020-08-24 18:35:09",4240,443,16.76,14.23,33.91,105,"","","",""
"","Santa Cruz","","2020-08-25 06:56:14",3985,470,16.57,14.97,35.19,101,"","","",""
"",Ghost,"","2020-08-25 17:06:00",4062,978,16.78,14.87,40.05,99,"","","",""
"","Santa Cruz","","2020-08-29 09:30:20",3360,2124,12.09,12.96,23.57,22,"","","",""
"","Santa Cruz","","2020-08-31 06:46:13",3645,595,16.87,16.66,32.97,250,"","","",""
"",Wilier,"","2020-08-31 17:20:51",3939,724,17.99,16.45,38.45,230,"","","",""
"","Santa Cruz","","2020-09-01 06:46:12",3863,787,16.81,15.66,36.99,327,"","","",""
"",Wilier,"","2020-09-01 17:10:40",4041,761,16.77,14.94,36.85,230,"","","",""
"","Santa Cruz","","2020-09-04 06:40:11",4008,623,16.98,15.25,33.02,283,"","","",""
"",Wilier,"","2020-09-04 18:01:15",4014,785,16.86,15.12,39.51,110,"","","",""
"","Santa Cruz","","2020-09-06 08:53:39",8602,1890,24.68,10.33,24.71,10,"","","",""
"","Santa Cruz","","2020-09-08 06:43:00",3831,630,16.75,15.75,35.66,409,"","","",""
"","Santa Cruz","","2020-09-08 17:25:59",4066,919,16.67,14.76,33.12,240,"","","",""
"","Santa Cruz","","2020-09-10 06:55:04",3852,592,16.74,15.65,32.8,415,"","","",""
"","Santa Cruz","","2020-09-10 17:49:31",3845,531,16.39,15.35,38.53,198,"","","",""
"","Santa Cruz","","2020-09-12 17:50:25",3908,768,15.57,14.34,22.12,0,"","","",""
"","Santa Cruz","","2020-09-13 16:12:36",5480,680,21.16,13.9,35.67,248,"","","",""
"","Santa Cruz","","2020-09-14 06:57:44",3939,567,16.53,15.11,34.14,92,"","","",""
"","Santa Cruz","수원시","2020-09-14 17:20:26",4139,392,16.67,14.5,33.21,90,"","","",""
"","Santa Cruz","","2020-09-15 06:58:13",4055,578,16.69,14.82,37.59,103,"","","",""
"","Santa Cruz","","2020-09-15 20:05:18",3939,293,16.89,15.44,39.92,118,"","","",""
"","Santa Cruz","","2020-09-16 07:10:45",3842,573,16.81,15.75,34.44,88,"","","",""
"","Santa Cruz","","2020-09-16 17:42:50",3807,645,17.01,16.09,41.35,102,"","","",""
"","Santa Cruz","","2020-09-17 06:45:14",3992,520,16.57,14.94,35.74,120,"","","",""
"","Santa Cruz","수원시","2020-09-17 17:27:25",4168,611,16.77,14.49,37.44,176,"","","",""
"","Santa Cruz","","2020-09-19 11:17:33",8942,13539,39.46,15.89,26.14,161,"","","",""
"","Santa Cruz","","2020-09-20 09:52:25",9684,13680,35.84,13.32,36.22,719,"","","",""
"",Nukeproof,"","2020-09-24 06:48:27",3951,550,16.81,15.31,33.44,272,"","","",""
"",Nukeproof,"","2020-09-24 17:29:54",2614,1193,9.93,13.67,25.83,163,"","","",""
"","Santa Cruz","","2020-09-27 10:02:23",5773,7050,18.48,11.52,31.15,694,"","","",""
"",Nukeproof,"","2020-09-30 09:17:29",6707,2666,22.36,12.0,43.12,727,"","","",""
"",Nukeproof,"","2020-09-30 16:17:26",5682,1913,22.19,14.06,40.16,495,"","","",""
"",Nukeproof,"","2020-10-03 10:11:20",16958,9914,92.36,19.61,37.26,791,"","","",""
"",Nukeproof,"","2020-10-05 06:32:08",3963,669,16.66,15.14,35.92,120,"","","",""
"",Nukeproof,"","2020-10-05 17:04:03",4986,2951,18.31,13.22,38.23,295,"","","",""
"",Nukeproof,"","2020-10-06 06:32:18",4056,561,16.71,14.83,37.71,135,"","","",""
"",Nukeproof,"","2020-10-06 17:28:34",4101,591,17.07,14.99,40.15,113,"","","",""
"",Nukeproof,"","2020-10-07 06:28:03",3978,315,16.59,15.02,33.18,137,"","","",""
"",Nukeproof,"","2020-10-07 17:49:03",3600,296,14.6,14.6,37.52,70,"","","",""
"",Nukeproof,"","2020-10-08 06:27:27",3939,441,16.6,15.17,33.81,142,"","","",""
"",Nukeproof,"","2020-10-08 17:00:08",5351,1040,18.14,12.21,32.02,173,"","","",""
"",Nukeproof,"","2020-10-11 10:12:43",7536,10105,25.06,11.97,26.85,275,"","","",""
"",Nukeproof,"","2020-10-12 06:28:06",4140,514,16.63,14.46,41.51,117,"","","",""
"",Nukeproof,"","2020-10-12 17:26:57",3976,765,15.73,14.24,39.21,121,"","","",""
"",Nukeproof,"","2020-10-13 06:39:10",4020,518,16.7,14.96,32.95,129,"","","",""
"",Nukeproof,"","2020-10-13 18:16:22",5782,1735,18.35,11.43,38.58,115,"","",19,130
"",Nukeproof,"","2020-10-15 06:32:20",3972,610,16.59,15.04,33.99,124,"","","",""
"",Nukeproof,"","2020-10-15 17:09:29",4119,1061,16.76,14.65,38.12,116,"","","",""
"",Nukeproof,"","2020-10-16 06:42:11",4163,592,16.66,14.41,37.0,118,"","","",""
"",Nukeproof,"","2020-10-16 17:15:17",4203,1044,16.81,14.39,37.54,105,"","","",""
"",Nukeproof,"","2020-10-17 07:57:05",8082,3184,42.12,18.76,27.91,212,"","",60,148
"",Nukeproof,"","2020-10-18 10:55:32",10707,7041,46.27,15.56,53.81,747,"","","",""
"",Nukeproof,"","2020-10-19 07:10:36",4122,877,16.73,14.62,35.38,112,"","","",""
"",Nukeproof,"","2020-10-19 17:37:20",4385,869,16.77,13.77,32.43,91,"","","",""
"",Nukeproof,"","2020-10-20 06:47:29",4071,500,16.75,14.81,36.66,128,"","","",""
"",Nukeproof,"","2020-10-20 20:20:27",4125,767,16.61,14.49,36.85,89,"","","",""
"",Nukeproof,"","2020-10-21 06:13:37",4296,531,16.76,14.05,35.72,117,"","","",""
"",Nukeproof,"수원시","2020-10-21 17:04:57",4327,659,16.8,13.98,38.54,95,"","","",""
"",Nukeproof,"","2020-10-22 06:58:16",4082,755,16.83,14.85,37.43,110,"","","",""
"",Nukeproof,"","2020-10-22 17:12:22",4277,731,16.65,14.01,33.39,97,"","","",""
"",Nukeproof,"","2020-10-23 06:18:05",3888,622,16.63,15.4,35.6,111,"","","",""
"",Nukeproof,"","2020-10-23 17:34:20",6445,28542,33.9,18.94,58.59,322,"","","",""
"","Santa Cruz","","2020-10-24 08:58:12",10722,4213,41.82,14.04,59.41,336,"","",50,149
"",Nukeproof,"","2020-10-26 06:47:09",4024,653,16.98,15.18,35.52,253,"","","",""
"",Nukeproof,"","2020-10-26 17:06:49",4212,1007,16.78,14.34,34.48,104,"","","",""
"",Nukeproof,"","2020-10-27 06:42:21",4129,476,16.63,14.5,31.83,120,"","","",""
"",Nukeproof,"","2020-10-27 18:38:00",4191,599,16.78,14.42,38.14,88,"","","",""
"",Nukeproof,"","2020-10-28 06:30:49",4170,528,17.33,14.96,39.18,101,"","","",""
"",Nukeproof,"","2020-10-28 17:02:04",4228,898,16.78,14.28,35.45,100,"","","",""
"",Nukeproof,"","2020-10-29 06:40:22",4176,514,16.6,14.31,33.0,103,"","","",""
"",Nukeproof,"수원시","2020-10-29 17:11:42",4264,755,16.72,14.12,36.61,191,"","","",""
"",Nukeproof,"","2020-10-30 06:29:08",4105,738,16.6,14.56,35.9,96,"","","",""
"",Nukeproof,"수원시","2020-10-30 17:00:03",4131,949,16.88,14.71,34.57,130,"","","",""
"",Nukeproof,"","2020-10-31 08:03:05",7520,2424,20.34,9.74,28.43,504,"","",3,97
"",Nukeproof,"","2020-11-01 10:39:42",1217,693,6.71,19.84,57.31,156,"","","",""
"",Nukeproof,"","2020-11-01 11:15:23",7432,6461,24.48,11.86,27.56,705,"","","",""
"",Nukeproof,"","2020-11-02 06:45:48",4571,714,16.76,13.2,31.14,99,"","","",""
"",Nukeproof,"","2020-11-02 17:13:52",4790,908,17.08,12.84,33.13,89,"","","",""
"",Nukeproof,"","2020-11-03 06:51:22",4216,586,16.72,14.28,35.08,109,"","","",""
"",Nukeproof,"","2020-11-03 17:09:21",4326,549,16.97,14.13,49.13,107,"","","",""
"",Nukeproof,"","2020-11-04 06:21:30",4308,416,17.12,14.3,33.93,101,"","","",""
"",Nukeproof,"수원시","2020-11-04 17:09:14",3624,1701,17.22,17.11,37.52,80,"","",47,147
"",Nukeproof,"안양시","2020-11-05 06:41:52",4362,564,18.01,14.86,40.03,106,"","",53,149
"",Nukeproof,"","2020-11-05 17:09:41",4493,652,17.93,14.37,33.31,104,"","",47,147
"",Nukeproof,"","2020-11-06 06:19:15",4189,448,17.84,15.33,43.19,267,"","",54,144
"",Nukeproof,"","2020-11-06 17:14:33",4415,912,18.25,14.88,39.5,327,"","",45,145
"",Nukeproof,"","2020-11-07 08:03:52",5691,5788,18.75,11.86,30.94,490,"","",44,148
"",Nukeproof,"","2020-11-08 11:02:01",4191,1972,12.94,11.11,32.78,396,"","",50,149
"",Nukeproof,"","2020-11-09 06:53:30",4269,1031,17.91,15.1,38.95,106,"","",52,142
"",Nukeproof,"수원시","2020-11-09 19:58:41",4234,524,17.71,15.06,36.34,115,"","",50,145
"",Nukeproof,"","2020-11-10 06:57:04",4324,806,17.75,14.78,37.79,91,"","",53,133
"",Nukeproof,"","2020-11-10 18:20:14",4225,364,17.54,14.95,37.26,106,"","",50,150
"",Nukeproof,"","2020-11-11 06:21:42",4057,286,17.51,15.54,35.15,108,"","",53,143
"",Nukeproof,"수원시","2020-11-11 17:46:38",4225,793,17.81,15.17,39.89,88,"","",48,142
"",Nukeproof,"","2020-11-12 06:56:51",4029,684,17.84,15.94,35.94,104,"","",53,126
"",Nukeproof,"","2020-11-12 17:24:50",4109,916,17.71,15.52,41.08,88,"","",46,147
"",Nukeproof,"","2020-11-13 06:43:33",4130,1177,18.12,15.8,40.29,96,"","",53,143
"",Nukeproof,"수원시","2020-11-13 17:13:30",4099,808,17.78,15.62,40.55,93,"","",46,123
"",Nukeproof,"","2020-11-15 10:07:58",12299,16698,35.94,10.52,37.13,1381,"","",38,143
"",Nukeproof,"","2020-11-17 06:54:42",4104,578,17.77,15.58,36.47,114,"","",53,146
"",Nukeproof,"","2020-11-17 20:18:28",4168,561,17.71,15.3,40.42,214,"","",47,141
"",Nukeproof,"","2020-11-18 06:18:21",3692,1240,16.18,15.77,32.52,420,"","",38,126
"",Nukeproof,"","2020-11-18 17:11:43",4230,532,16.8,14.3,33.85,280,"","","",""
"",Nukeproof,"","2020-11-23 06:56:09",4179,503,17.81,15.35,38.18,158,"","",41,131
"",Nukeproof,"","2020-11-23 17:07:17",4263,565,17.93,15.14,36.21,99,"","",48,147
"",Nukeproof,"","2020-11-24 06:41:22",4290,676,17.75,14.89,34.59,121,"","",55,145
"",Nukeproof,"","2020-11-24 20:12:41",4397,1824,16.5,13.51,34.46,89,"","",46,148
"",Nukeproof,"","2020-11-25 06:27:33",4047,832,16.3,14.5,35.29,99,"","",54,141
"",Nukeproof,"","2020-11-25 17:22:42",4387,579,17.88,14.67,40.55,128,"","",48,145
"",Nukeproof,"","2020-11-26 06:52:37",4076,544,17.88,15.8,34.89,111,"","",55,115
"",Nukeproof,"","2020-11-26 17:15:27",4352,791,17.99,14.88,40.55,99,"","",48,146
"",Nukeproof,"","2020-12-01 07:03:03",4239,518,17.83,15.15,40.42,90,"","",48,118
"",Nukeproof,"수원시","2020-12-01 20:30:53",4032,550,17.93,16.01,38.45,269,"","",52,142
"",Nukeproof,"","2020-12-02 06:19:29",4227,434,17.76,15.13,37.79,366,"","",54,143
"",Nukeproof,"","2020-12-02 18:00:57",4328,614,17.68,14.71,34.23,190,"","",49,142
"",Nukeproof,"","2020-12-03 07:00:37",4439,647,18.0,14.6,34.5,319,"","",50,142
"",Nukeproof,"","2020-12-07 07:05:59",4010,700,17.84,16.01,36.08,101,"","",49,126
"",Nukeproof,"","2020-12-07 17:54:21",4283,590,17.82,14.98,33.71,124,"","",47,142
"",Nukeproof,"","2020-12-08 06:51:13",4235,492,17.82,15.15,34.36,100,"","",40,142
"",Nukeproof,"","2020-12-08 17:11:37",4315,225,17.8,14.85,36.73,95,"","",47,123
"",Roller,"","2020-12-18 16:45:55",440,0,2.13,17.46,21.91,0,"","",48,58
"",Roller,"수원시","2020-12-21 08:31:10",1283,10708,6.49,18.21,21.86,0,"","",43,55
"",Nukeproof,"","2020-12-22 16:59:38",4333,835,16.65,13.83,31.51,106,"","","",""
"",Nukeproof,"","2020-12-24 06:34:16",4212,815,16.68,14.25,31.83,144,"","","",""
"",Nukeproof,"","2020-12-24 17:05:29",4354,957,17.58,14.53,37.85,424,"","","",""
"",Nukeproof,"","2020-12-26 12:15:44",5016,2108,20.49,14.71,23.7,151,"","","",""
"",Nukeproof,"","2020-12-28 06:29:41",4064,678,16.62,14.72,33.59,245,"","","",""
"",Nukeproof,"","2020-12-28 17:20:43",4264,692,16.7,14.1,34.93,261,"","","",""
"",Nukeproof,"","2020-12-29 06:43:48",4423,492,16.88,13.74,37.07,303,"","","",""
"",Nukeproof,"","2020-12-29 17:11:24",4127,457,16.76,14.62,32.31,278,"","","",""
"",Nukeproof,"","2021-01-20 07:03:09",4218,397,16.65,14.21,34.08,288,"","","",""
"",Nukeproof,"","2021-01-20 17:05:19",4076,750,16.63,14.69,35.05,372,"","","",""
"",Nukeproof,"","2021-01-21 07:01:24",4191,832,16.77,14.41,33.82,355,"","","",""
"",Nukeproof,"","2021-01-21 17:12:37",128,0,0.64,17.99,45.28,0,"","","",""
"",Nukeproof,"","2021-01-24 13:23:52",5296,1158,20.86,14.18,34.49,443,"","","",""
"",Nukeproof,"","2021-01-25 06:59:41",4275,524,17.02,14.33,33.82,336,"","","",""
"",Nukeproof,"","2021-01-25 17:30:27",4612,724,16.8,13.12,36.64,307,"","","",""
"",Nukeproof,"","2021-01-26 06:43:25",4241,562,16.72,14.19,34.33,284,"","","",""
"",Nukeproof,"","2021-01-26 21:08:50",4453,417,16.66,13.47,30.86,118,"","","",""
"",Nukeproof,"","2021-01-27 06:58:50",4382,419,16.71,13.73,34.12,111,"","","",""
"",Nukeproof,"수원시","2021-01-27 17:07:40",4347,1231,16.7,13.83,33.98,99,"","","",""
"",Nukeproof,"","2021-02-08 06:51:36",4383,519,17.03,13.99,31.37,180,"","","",""
"",Nukeproof,"","2021-02-08 17:10:58",3855,604,14.64,13.67,32.32,86,"","","",""
