"Route","Bike","Location","Start Time","Time (secs)","Stopped Time (secs)","Distance (km)","Average Speed (km/h)","Fastest Speed (km/h)","Ascent (metres)","Average Heart Rate (bpm)","Maximum Heart Rate (bpm)","Average Cadence (rpm)","Maximum Cadence (rpm)"
"",Ghost,"","2017-05-16 07:04:52",3259,920,17.0,18.78,40.14,372,"","","",""
"",Ghost,"","2017-05-16 17:36:28",5143,1541,23.17,16.22,53.44,565,"","","",""
"",Ghost,"","2017-05-17 17:31:40",3911,1368,16.54,15.22,44.44,473,"","","",""
"",Ghost,"","2017-05-18 07:09:51",3311,922,16.54,17.98,39.61,393,"","","",""
"",Ghost,"수원시","2017-05-22 10:43:49",1,144,0.04,146.27,2.34,15,"","","",""
"",Ghost,"수원시","2017-05-22 10:47:36",1,34,0.0,10.06,1.28,22,"","","",""
"",Ghost,"수원시","2017-05-22 10:48:44",1,56,0.05,222.25,15.37,23,"","","",""
"",Ghost,"","2017-05-22 18:55:48",3715,708,16.47,15.96,40.38,348,"","","",""
"",Ghost,"수원시","2017-05-23 16:32:29",1575,991,1.54,3.53,15.83,0,"","",10,116
"",Ghost,"수원시","2017-05-23 17:16:27",2431,621,17.89,26.49,46.1,0,"","",81,124
"",Ghost,"","2017-05-25 07:03:12",3239,1075,17.2,19.11,42.42,379,"","","",""
"",Ghost,"","2017-05-25 18:47:49",3995,1428,18.11,16.32,43.93,512,"","","",""
"",Ghost,"","2017-05-29 06:54:03",401,0,1.81,16.23,47.67,11,"","","",""
"",Ghost,"","2017-05-29 07:01:17",2879,830,15.03,18.8,49.81,322,"","","",""
"",Ghost,"","2017-05-29 19:57:33",3513,852,16.79,17.21,38.48,298,"","","",""
"",Ghost,"","2017-05-30 06:53:43",3358,621,16.28,17.45,37.28,373,"","","",""
"",Ghost,"","2017-05-30 17:18:43",3844,942,17.76,16.64,40.66,518,"","","",""
"",Ghost,"","2017-06-01 18:55:49",3463,943,19.09,19.85,60.99,221,"","","",""
"",Ghost,"","2017-06-04 16:51:03",9936,6926,57.86,20.96,41.44,952,"","","",""
"",Ghost,"","2017-06-11 08:13:46",214,618,1.31,22.05,22.56,32,"","","",""
"",Ghost,"","2017-06-11 09:00:29",8102,13039,45.17,20.07,78.32,901,"","","",""
"",Ghost,"","2017-06-12 06:53:59",3508,859,16.81,17.25,46.42,362,"","","",""
"",Ghost,"","2017-06-12 20:33:08",4093,1346,17.11,15.05,40.89,357,"","","",""
"",Ghost,"","2017-06-13 06:55:31",3915,338,17.32,15.93,42.98,366,"","","",""
"",Ghost,"","2017-06-13 21:21:25",3623,495,17.86,17.75,54.02,232,"","","",""
"",Ghost,"","2017-06-15 07:01:50",7376,17882,30.17,14.72,37.09,298,"","","",""
"",Ghost,"","2017-06-15 18:21:57",4309,672,24.14,20.17,53.44,67,"","","",""
"",Ghost,"","2017-06-18 07:09:30",736,84,1.45,7.08,23.24,51,"","","",""
"",Ghost,"","2017-06-18 08:01:43",5260,2960,25.97,17.78,49.12,506,"","","",""
"",Ghost,"","2017-06-18 10:42:21",3376,3168,17.67,18.85,32.74,222,"","","",""
"",Ghost,"","2017-06-19 07:06:39",4060,236,17.79,15.78,48.36,413,"","","",""
"",Ghost,"","2017-06-19 18:14:38",4173,609,17.22,14.86,42.0,517,"","","",""
"",Ghost,"","2017-06-20 06:59:21",3900,332,17.02,15.71,38.26,385,"","","",""
"",Ghost,"","2017-06-21 17:15:03",4544,598,18.11,14.35,40.24,438,"","","",""
"",Ghost,"","2017-06-22 07:04:30",3770,461,16.83,16.08,38.99,426,"","","",""
"",Ghost,"","2017-06-25 10:09:47",5666,2038,16.62,10.56,41.77,575,"","","",""
"",Ghost,"","2017-06-26 07:10:34",4158,272,17.75,15.37,37.12,217,"","","",""
"",Ghost,"","2017-06-29 19:36:00",4218,625,22.33,19.06,66.54,10,"","","",""
"",Ghost,"","2017-07-03 07:09:59",3898,733,17.58,16.23,34.0,202,"","","",""
"",Ghost,"","2017-07-03 18:18:39",4130,278,18.9,16.48,49.85,324,"","","",""
"",Ghost,"","2017-07-04 07:08:30",3743,635,20.41,19.63,55.63,13,"","","",""
"",Ghost,"","2017-07-04 17:32:33",4127,912,17.15,14.96,45.58,524,"","","",""
"",Ghost,"","2017-07-06 07:05:47",3912,640,17.92,16.49,67.08,220,"","","",""
"",Ghost,"","2017-07-11 07:04:30",3748,493,16.85,16.18,38.96,398,"","","",""
"",Ghost,"수원시","2017-07-11 21:42:11",4130,1470,17.35,15.13,36.33,478,"","","",""
"",Ghost,"안양시","2017-07-12 07:07:55",3921,532,17.74,16.29,43.59,320,"","","",""
"",Ghost,"수원시","2017-07-12 17:26:27",4094,831,17.16,15.09,42.01,402,125,161,"",""
"",Ghost,"춘천시","2017-07-15 10:37:13",9509,5854,40.13,15.19,30.73,413,100,155,"",""
"",Ghost,"안양시","2017-07-17 07:22:59",3763,1057,16.95,16.21,43.32,395,135,157,58,150
"",Ghost,"수원시","2017-07-17 17:45:17",4030,912,17.54,15.67,43.46,374,126,156,50,101
"",Ghost,"안양시","2017-07-18 07:06:37",3929,540,17.48,16.02,48.46,390,130,156,55,137
"",Ghost,"수원시","2017-07-18 17:42:37",4097,911,17.76,15.61,44.71,415,124,156,52,102
"",Ghost,"안양시","2017-07-19 07:05:27",3877,684,17.48,16.24,44.43,262,113,152,59,144
"",Ghost,"안양시","2017-08-01 07:07:44",3815,643,17.6,16.61,46.1,283,"","",51,93
"",Ghost,"수원시","2017-08-01 17:25:06",3625,739,17.22,17.1,45.51,268,128,157,"",""
"",Ghost,"안양시","2017-08-02 07:09:13",3755,566,17.2,16.49,43.75,313,"","","",""
"",Ghost,"수원시","2017-08-02 17:19:16",3845,939,16.6,15.54,40.03,214,123,153,"",""
"",Ghost,"수원시","2017-08-03 07:07:39",3709,742,16.81,16.31,40.23,219,131,157,"",""
"",Ghost,"수원시","2017-08-03 21:24:50",3815,467,17.14,16.17,39.83,337,124,159,"",""
"",Ghost,"안양시","2017-08-07 07:28:51",4167,459,17.65,15.25,45.57,350,"","","",""
"",Ghost,"안양시","2017-08-09 07:05:14",3664,536,16.78,16.49,43.37,303,124,151,"",""
"",Ghost,"수원시","2017-08-09 17:39:15",3629,919,17.21,17.07,40.12,257,123,157,"",""
"",Ghost,"안양시","2017-08-10 07:05:23",3747,620,17.59,16.9,41.46,347,125,162,"",""
"",Ghost,"안양시","2017-08-13 08:12:25",15002,12724,83.6,20.06,53.47,737,"","","",""
"",Ghost,"수원시","2017-08-16 17:24:35",3695,599,16.85,16.42,39.61,188,119,148,"",""
"",Ghost,"안양시","2017-08-17 07:06:15",3844,517,16.94,15.87,41.37,348,122,148,"",""
"",Ghost,"안양시","2017-08-21 07:47:47",3812,526,16.75,15.82,33.74,283,133,157,"",""
"",Ghost,"수원시","2017-08-21 18:39:44",3862,546,17.33,16.15,43.9,358,121,157,"",""
"",Ghost,"안양시","2017-08-22 07:02:08",3758,623,17.99,17.23,48.2,400,135,171,"",""
"",Ghost,"수원시","2017-08-22 20:58:35",3768,361,19.06,18.21,58.85,270,133,175,"",""
"",Ghost,"안양시","2017-08-24 07:01:35",3723,673,19.63,18.99,49.19,306,140,170,"",""
"",Ghost,"수원시","2017-08-24 18:27:22",4575,904,27.22,21.42,71.2,976,123,161,"",""
"",Ghost,"화성시","2017-08-27 09:01:19",6585,3684,37.75,20.64,41.43,405,"","","",""
"",Ghost,"안양시","2017-08-29 07:08:47",4055,312,21.02,18.66,72.66,150,132,166,"",""
"",Ghost,"수원시","2017-08-29 17:27:10",4645,436,18.11,14.04,43.31,341,132,162,"",""
"",Ghost,"수원시","2017-08-30 17:30:29",4076,625,16.81,14.85,40.43,334,119,157,"",""
"",Ghost,"안양시","2017-08-31 06:52:43",3858,381,17.19,16.04,38.53,239,127,160,"",""
"",Ghost,"수원시","2017-09-13 18:10:55",4397,933,18.46,15.11,47.73,429,120,164,"",""
"",Ghost,"수원시","2017-09-18 18:17:06",4068,1225,16.46,14.57,38.43,100,121,165,"",""
"",Ghost,"안양시","2017-09-19 06:57:56",3736,549,16.51,15.91,35.34,101,132,166,"",""
"",Ghost,"수원시","2017-09-19 17:32:24",3998,1390,16.73,15.06,44.18,91,119,159,"",""
"",Ghost,"수원시","2017-09-20 17:16:05",3908,1339,16.34,15.06,40.2,111,"","","",""
"",Ghost,"안양시","2017-09-21 07:01:43",3671,376,16.28,15.97,34.15,105,135,169,"",""
"",Ghost,"안양시","2017-09-25 07:03:57",3579,1048,16.5,16.59,38.23,112,"","","",""
"",Ghost,"수원시","2017-09-25 18:41:53",4045,688,16.4,14.6,35.85,82,119,157,"",""
"",Ghost,"안양시","2017-09-26 07:02:30",3898,670,16.5,15.24,39.69,112,129,164,"",""
"",Ghost,"수원시","2017-09-26 20:59:54",3858,2459,16.52,15.41,39.11,98,121,164,"",""
"",Ghost,"","2017-09-27 17:18:20",3511,1097,16.44,16.86,41.2,94,127,164,"",""
"",Ghost,"수원시","2017-09-29 17:13:29",4083,1011,16.34,14.41,37.46,79,112,153,"",""
"",Ghost,"춘천시","2017-10-06 10:58:38",24048,12486,133.73,20.02,78.38,212,103,150,"",""
"",Ghost,"안양시","2017-10-10 07:09:16",3798,539,16.56,15.7,41.22,93,129,156,"",""
"",Ghost,"수원시","2017-10-10 17:22:29",3875,131797,16.4,15.23,30.55,111,111,155,"",""
"",Ghost,"안양시","2017-10-12 07:03:51",3589,864,16.56,16.61,42.65,131,130,159,"",""
"",Ghost,"수원시","2017-10-12 18:34:42",3889,506,16.49,15.27,37.34,112,111,160,"",""
"",Ghost,"안양시","2017-10-17 07:03:28",3514,817,16.46,16.86,36.74,110,"","","",""
"",Ghost,"수원시","2017-10-17 17:20:49",3937,864,16.32,14.92,36.07,90,"","","",""
"",Ghost,"수원시","2017-10-18 17:40:32",4084,825,16.44,14.49,40.86,91,120,163,"",""
"",Ghost,"안양시","2017-10-19 06:47:32",3750,451,16.58,15.91,38.22,107,128,162,"",""
"",Ghost,"안양시","2017-10-26 07:13:03",3644,457,16.39,16.19,42.59,109,"","","",""
"",Ghost,"수원시","2017-10-26 19:11:39",3841,375,16.36,15.33,38.57,96,124,162,"",""
"",Ghost,"수원시","2017-11-01 17:04:54",4110,713,16.43,14.39,38.54,104,123,161,"",""
"",Ghost,"안양시","2017-11-02 07:03:01",3839,551,16.45,15.42,35.64,136,121,152,"",""
"",Ghost,"군포시","2017-11-04 10:00:02",4371,3710,12.01,9.89,29.21,279,121,161,"",""
"",Ghost,"수원시","2017-11-08 17:08:00",4105,395,16.49,14.46,38.04,88,115,149,"",""
"",Ghost,"안양시","2017-11-09 06:59:46",3820,342142,16.53,15.58,42.46,113,132,165,"",""
"",Ghost,"안양시","2017-11-13 07:05:55",4045,538,16.6,14.77,39.3,129,134,157,"",""
"",Ghost,"안양시","2017-11-14 07:00:49",3905,411,16.5,15.21,31.25,113,133,154,"",""
"",Ghost,"수원시","2017-11-14 17:21:56",4419,645,16.46,13.41,38.25,109,123,157,"",""
"",Ghost,"안양시","2017-11-18 07:34:48",22806,6408,113.27,17.88,38.14,65,"","","",""
"",Ghost,"안양시","2017-11-20 07:20:18",3835,965,16.64,15.62,35.64,112,"","","",""
"",Ghost,"수원시","2017-11-20 20:58:02",4342,778,16.59,13.76,37.28,101,"","","",""
"",Ghost,"안양시","2017-11-21 07:03:55",3908,809,16.66,15.35,39.76,127,"","","",""
"",Ghost,"수원시","2017-11-21 17:44:12",4232,1140,16.46,14.0,35.35,117,"","","",""
"",Ghost,"안양시","2017-12-04 07:26:27",3859,743,16.5,15.39,38.51,123,"","","",""
"",Ghost,"수원시","2017-12-04 17:16:17",4162,942,16.44,14.22,31.66,114,"","","",""
"",Ghost,"안양시","2018-02-15 12:08:36",5507,1423,19.02,12.43,36.31,270,"","","",""
"",Ghost,"안양시","2018-02-26 07:03:38",4028,349,16.37,14.63,32.83,111,"","","",""
"",Ghost,"수원시","2018-02-26 18:31:05",4461,774,16.62,13.41,36.26,94,132,164,"",""
"",Ghost,"안양시","2018-02-27 07:08:50",4100,817,16.65,14.62,36.01,106,131,156,"",""
"",Ghost,"수원시","2018-02-27 18:13:55",4387,930,16.42,13.48,35.53,101,116,146,"",""
"",Ghost,"계양구","2018-03-03 10:03:46",6593,7188,30.76,16.8,36.37,71,117,152,"",""
"",Ghost,"안양시","2018-03-06 07:08:44",3949,781,16.41,14.96,40.23,126,131,157,"",""
"",Ghost,"수원시","2018-03-06 19:03:33",4438,777,16.69,13.54,38.07,110,"","","",""
"",Ghost,"수원시","2018-03-07 17:48:51",4013,898,16.4,14.72,36.01,92,"","","",""
"",Ghost,"안양시","2018-03-08 07:02:14",3810,981,16.44,15.53,37.3,127,136,160,"",""
"",Ghost,"안양시","2018-03-12 07:53:43",4035,524,16.36,14.6,41.59,119,"","","",""
"",Ghost,"수원시","2018-03-12 19:58:45",4179,571,16.69,14.38,36.18,105,"","","",""
"",Ghost,"수원시","2018-03-13 20:37:10",4506,77773,18.35,14.66,40.48,130,"","","",""
"",Ghost,"수원시","2018-03-14 19:28:36",3846,363,14.98,14.02,37.04,84,"","","",""
"",Ghost,"수원시","2018-03-26 20:04:14",4213,586,16.54,14.13,39.51,81,119,165,"",""
"",Ghost,"수원시","2018-04-09 17:15:37",3835,791,16.43,15.43,41.47,115,"","","",""
"",Ghost,"안양시","2018-04-10 07:08:13",3878,901,16.47,15.29,34.86,126,139,167,"",""
"",Ghost,"수원시","2018-04-11 17:25:55",4297,543,17.21,14.42,44.31,106,"","","",""
"",Ghost,"안양시","2018-04-12 07:03:12",3586,804,16.5,16.57,39.21,106,"","","",""
